"category","categoryKey","id","name","modelFile","thumbFile","sizeMB","sourceUrl","sourceThumb"
"基础模型","JC","c53956d2-0cc9-461a-ac35-8e7d093bc086","女","models/c53956d2-0cc9-461a-ac35-8e7d093bc086.gltf","thumbnails/c53956d2-0cc9-461a-ac35-8e7d093bc086.png","8.06","https://rh-canvas-files.xiaoyaoyou.com/default/director/c6a76e3f-6ca0-4f7c-87a0-46abd5cff6be.gltf","https://rh-canvas-files.xiaoyaoyou.com/default/director/4a98116b-50b5-4cab-a306-27968a1a4e4f.png"
"基础模型","JC","935cc669-2143-44b5-9bb2-510c930d87ec","男","models/935cc669-2143-44b5-9bb2-510c930d87ec.gltf","thumbnails/935cc669-2143-44b5-9bb2-510c930d87ec.png","8.06","https://rh-canvas-files.xiaoyaoyou.com/default/director/1c82f77e-e9cf-4710-8594-a8eb5bd6c944.gltf","https://rh-canvas-files.xiaoyaoyou.com/default/director/d3720c8f-84b4-4ef8-b138-1272394b873a.png"
"基础模型","JC","b53c94b0-8586-4d86-992e-7d351bcd9cbc","地形","models/b53c94b0-8586-4d86-992e-7d351bcd9cbc.gltf","thumbnails/b53c94b0-8586-4d86-992e-7d351bcd9cbc.png","2.6","https://rh-canvas-files.xiaoyaoyou.com/default/director/dddfc259-ed29-40a6-a054-f1eb88f2e98b.gltf","https://rh-canvas-files.xiaoyaoyou.com/default/director/1af58104-4730-411d-af6d-b5bdf42cf866.png"
"基础模型","JC","862f0823-24bc-40cb-9cf1-3fd9f26c36e7","管道","models/862f0823-24bc-40cb-9cf1-3fd9f26c36e7.gltf","thumbnails/862f0823-24bc-40cb-9cf1-3fd9f26c36e7.png","0.08","https://rh-canvas-files.xiaoyaoyou.com/default/director/3eb384ad-4a18-433c-be95-7f20b391e73c.gltf","https://rh-canvas-files.xiaoyaoyou.com/default/director/55b8084e-1b61-4b27-8262-f21e30b0ab75.png"
"基础模型","JC","fb2e8cfe-fbb1-4bc7-8b6f-e299e5df4c35","立方体","models/fb2e8cfe-fbb1-4bc7-8b6f-e299e5df4c35.gltf","thumbnails/fb2e8cfe-fbb1-4bc7-8b6f-e299e5df4c35.png","0","https://rh-canvas-files.xiaoyaoyou.com/default/director/034ecda8-fa31-470f-a845-26d1e63262ce.gltf","https://rh-canvas-files.xiaoyaoyou.com/default/director/ce16c56c-642b-4ab1-9321-dbb959b73b63.png"
"基础模型","JC","dd9e37cf-cad0-44f0-99f6-7a85432f6a9c","球体","models/dd9e37cf-cad0-44f0-99f6-7a85432f6a9c.gltf","thumbnails/dd9e37cf-cad0-44f0-99f6-7a85432f6a9c.png","0.13","https://rh-canvas-files.xiaoyaoyou.com/default/director/b75ccfbb-cb6c-4f56-8b27-5c36a97a7fcc.gltf","https://rh-canvas-files.xiaoyaoyou.com/default/director/7afc12c6-79fa-4ee6-b8f5-bc8a0a53cb45.png"
"基础模型","JC","9d155e18-f977-4a91-9ff8-512843c67421","斜坡","models/9d155e18-f977-4a91-9ff8-512843c67421.gltf","thumbnails/9d155e18-f977-4a91-9ff8-512843c67421.png","0","https://rh-canvas-files.xiaoyaoyou.com/default/director/054cea6a-9e0c-4ed0-85a6-245c52afeb2b.gltf","https://rh-canvas-files.xiaoyaoyou.com/default/director/21741b35-4635-439e-9480-57eeb34dce06.png"
"基础模型","JC","03f4ac51-1d75-4982-b9dd-b1ac2d789b7e","圆环体","models/03f4ac51-1d75-4982-b9dd-b1ac2d789b7e.gltf","thumbnails/03f4ac51-1d75-4982-b9dd-b1ac2d789b7e.png","0.13","https://rh-canvas-files.xiaoyaoyou.com/default/director/0f3e5a86-9702-4701-9ca2-dd190faa7ec9.gltf","https://rh-canvas-files.xiaoyaoyou.com/default/director/4bc5deb4-09e7-4925-9395-fba45dfb9c14.png"
"基础模型","JC","c3a2d9cb-314a-425c-9636-85b241a19afe","圆柱体","models/c3a2d9cb-314a-425c-9636-85b241a19afe.gltf","thumbnails/c3a2d9cb-314a-425c-9636-85b241a19afe.png","0.02","https://rh-canvas-files.xiaoyaoyou.com/default/director/7cc88b11-2e0f-4bba-b5fc-a35e9731e796.gltf","https://rh-canvas-files.xiaoyaoyou.com/default/director/8e11dd69-c8ff-42f3-838a-0b3c4c47c9cb.png"
"基础模型","JC","6ccfbe0f-6b9a-487c-a080-d9d5ff4a9194","圆锥体","models/6ccfbe0f-6b9a-487c-a080-d9d5ff4a9194.gltf","thumbnails/6ccfbe0f-6b9a-487c-a080-d9d5ff4a9194.png","0.02","https://rh-canvas-files.xiaoyaoyou.com/default/director/a1681321-aba6-4d6b-9db3-aaf8fc3a9e84.gltf","https://rh-canvas-files.xiaoyaoyou.com/default/director/161e9847-9ded-4f8f-8d43-3c81848db6c5.png"
"基础模型","JC","f36561f4-ef2c-4358-9600-836c3982e00d","平面","models/f36561f4-ef2c-4358-9600-836c3982e00d.gltf","thumbnails/f36561f4-ef2c-4358-9600-836c3982e00d.png","0","https://rh-canvas-files.xiaoyaoyou.com/default/director/21bd71c4-c80b-4614-86fe-8ce446c4db12.gltf","https://rh-canvas-files.xiaoyaoyou.com/default/director/2fbf2efe-6378-4426-a81a-07856ba50d4c.png"
"基础模型","JC","c412f964-e5ca-4f3b-bee1-98447367fba7","圆盘","models/c412f964-e5ca-4f3b-bee1-98447367fba7.gltf","thumbnails/c412f964-e5ca-4f3b-bee1-98447367fba7.png","0.01","https://rh-canvas-files.xiaoyaoyou.com/default/director/b224e008-550e-41b7-818b-0daf721d052b.gltf","https://rh-canvas-files.xiaoyaoyou.com/default/director/2f7da819-420d-4062-b708-16eec5f6a064.png"
